effMin0p9 OptionQ0 : FM=56.8793 - THR=38 - ACC=0.613758 - FMtACC=34.9101
effMin0p9 OptionM2 : FM=56.8287 - THR=38 - ACC=0.613309 - FMtACC=34.8535
effMin0p9 OptionW1 : FM=56.8287 - THR=38 - ACC=0.613309 - FMtACC=34.8535
effMin0p9 OptionG1 : FM=56.8287 - THR=38 - ACC=0.613309 - FMtACC=34.8535
effMin0p9 OptionO5 : FM=56.7795 - THR=38 - ACC=0.612755 - FMtACC=34.7919
effMin0p9 OptionY4 : FM=56.7795 - THR=38 - ACC=0.612755 - FMtACC=34.7919
effMin0p9 OptionI4 : FM=56.7795 - THR=38 - ACC=0.612755 - FMtACC=34.7919
effMin0p9 OptionS3 : FM=56.7795 - THR=38 - ACC=0.612755 - FMtACC=34.7919
effMin0p9 OptionC3 : FM=56.7795 - THR=38 - ACC=0.612755 - FMtACC=34.7919
effMin0p9 OptionR0 : FM=56.7204 - THR=38 - ACC=0.612087 - FMtACC=34.7178
effMin0p7 OptionL2 : FM=56.6488 - THR=34 - ACC=0.652831 - FMtACC=36.982
effMin0p7 OptionV1 : FM=56.6488 - THR=34 - ACC=0.652831 - FMtACC=36.982
effMin0p7 OptionF1 : FM=56.6488 - THR=34 - ACC=0.652831 - FMtACC=36.982
effMin0p7 OptionP0 : FM=56.6488 - THR=34 - ACC=0.652831 - FMtACC=36.982
effMin0p9 OptionD3 : FM=56.6304 - THR=38 - ACC=0.611237 - FMtACC=34.6146
effMin0p9 OptionN2 : FM=56.6304 - THR=38 - ACC=0.611237 - FMtACC=34.6146
effMin0p9 OptionX1 : FM=56.6304 - THR=38 - ACC=0.611237 - FMtACC=34.6146
effMin0p9 OptionH1 : FM=56.6304 - THR=38 - ACC=0.611237 - FMtACC=34.6146
Option4 : FM=56.6189 - THR=34 - ACC=-1 - FMtACC=-56.6189
effMin0p9 OptionP5 : FM=56.5927 - THR=38 - ACC=0.610941 - FMtACC=34.5748
effMin0p9 OptionZ4 : FM=56.5927 - THR=38 - ACC=0.610941 - FMtACC=34.5748
effMin0p9 OptionJ4 : FM=56.5927 - THR=38 - ACC=0.610941 - FMtACC=34.5748
effMin0p9 OptionT3 : FM=56.5927 - THR=38 - ACC=0.610941 - FMtACC=34.5748
effMin0p2 OptionC1 : FM=56.2538 - THR=38 - ACC=0.574293 - FMtACC=32.3062
effMin0p2 OptionM0 : FM=56.2538 - THR=38 - ACC=0.574293 - FMtACC=32.3062
Option25 : FM=56.2538 - THR=38 - ACC=-1 - FMtACC=-56.2538
effMin0p9 OptionN4 : FM=56.1851 - THR=35 - ACC=0.665865 - FMtACC=37.4117
effMin0p9 OptionX3 : FM=56.1851 - THR=35 - ACC=0.665865 - FMtACC=37.4117
effMin0p9 OptionH3 : FM=56.1851 - THR=35 - ACC=0.665865 - FMtACC=37.4117
effMin0p9 OptionR2 : FM=56.1851 - THR=35 - ACC=0.665865 - FMtACC=37.4117
effMin0p9 OptionB2 : FM=56.1851 - THR=35 - ACC=0.665865 - FMtACC=37.4117
effMin0p9 OptionZ6 : FM=56.0844 - THR=35 - ACC=0.66491 - FMtACC=37.2911
effMin0p9 OptionJ6 : FM=56.0844 - THR=35 - ACC=0.66491 - FMtACC=37.2911
effMin0p9 OptionT5 : FM=56.0844 - THR=35 - ACC=0.66491 - FMtACC=37.2911
effMin0p9 OptionD5 : FM=56.0844 - THR=35 - ACC=0.66491 - FMtACC=37.2911
effMin0p6 OptionF4 : FM=55.8352 - THR=38 - ACC=0.589514 - FMtACC=32.9156
effMin0p6 OptionP3 : FM=55.8352 - THR=38 - ACC=0.589514 - FMtACC=32.9156
effMin0p6 OptionZ2 : FM=55.8352 - THR=38 - ACC=0.589514 - FMtACC=32.9156
effMin0p6 OptionJ2 : FM=55.8352 - THR=38 - ACC=0.589514 - FMtACC=32.9156
effMin0p8 OptionR0 : FM=55.5112 - THR=35 - ACC=0.651036 - FMtACC=36.1398
effMin0p7 OptionW4 : FM=55.3888 - THR=35 - ACC=0.641831 - FMtACC=35.5502
effMin0p7 OptionG4 : FM=55.3888 - THR=35 - ACC=0.641831 - FMtACC=35.5502
effMin0p7 OptionQ3 : FM=55.3888 - THR=35 - ACC=0.641831 - FMtACC=35.5502
effMin0p7 OptionA3 : FM=55.3888 - THR=35 - ACC=0.641831 - FMtACC=35.5502
effMin0p7 OptionK2 : FM=55.3888 - THR=35 - ACC=0.641831 - FMtACC=35.5502
effMin0p1 OptionC1 : FM=54.8523 - THR=35 - ACC=0.57754 - FMtACC=31.6794
effMin0p1 OptionM0 : FM=54.8523 - THR=35 - ACC=0.57754 - FMtACC=31.6794
effMin0p5 OptionF4 : FM=54.7051 - THR=35 - ACC=0.615247 - FMtACC=33.6572
