#Data tag : 22v1 , Norm tag: None
#run:fill,ls,time,beamstatus,E(GeV),delivered(1e30/cm2s),recorded(1e30/cm2s),avgpu,source
360927:8305,1:1,10/23/22 00:53:12,SQUEEZE,6800,9.744892679,7.556063527,0.0,BCM1FUT
360927:8305,2:2,10/23/22 00:53:36,SQUEEZE,6800,10.200495905,10.187883484,0.0,BCM1FUT
360927:8305,3:3,10/23/22 00:53:59,SQUEEZE,6800,10.197504805,10.184857382,0.0,BCM1FUT
360927:8305,4:4,10/23/22 00:54:22,SQUEEZE,6800,10.168284829,10.155713408,0.0,BCM1FUT
360927:8305,5:5,10/23/22 00:54:46,SQUEEZE,6800,10.163880681,10.151278260,0.0,BCM1FUT
360927:8305,6:6,10/23/22 00:55:09,SQUEEZE,6800,10.156858447,10.144173023,0.0,BCM1FUT
360927:8305,7:7,10/23/22 00:55:32,SQUEEZE,6800,10.141941448,10.129287525,0.0,BCM1FUT
360927:8305,8:8,10/23/22 00:55:56,SQUEEZE,6800,10.135306726,10.122760307,0.0,BCM1FUT
360927:8305,9:9,10/23/22 00:56:19,SQUEEZE,6800,10.141801944,10.129194522,0.0,BCM1FUT
360927:8305,10:10,10/23/22 00:56:42,SQUEEZE,6800,10.163845680,10.151203258,0.0,BCM1FUT
360927:8305,11:11,10/23/22 00:57:06,SQUEEZE,6800,10.210454238,10.197754814,0.0,BCM1FUT
360927:8305,12:12,10/23/22 00:57:29,SQUEEZE,6800,10.221947622,10.209219197,0.0,BCM1FUT
360927:8305,13:13,10/23/22 00:57:52,SQUEEZE,6800,10.232918989,10.220204564,0.0,BCM1FUT
360927:8305,14:14,10/23/22 00:58:16,SQUEEZE,6800,10.189178527,10.176486603,0.0,BCM1FUT
360927:8305,15:15,10/23/22 00:58:39,SQUEEZE,6800,10.180012221,10.167347797,0.0,BCM1FUT
360927:8305,16:16,10/23/22 00:59:02,ADJUST,6800,10.189617542,10.176905117,0.0,BCM1FUT
360927:8305,17:17,10/23/22 00:59:25,ADJUST,6800,10.145015051,10.132370628,0.0,BCM1FUT
360927:8305,18:18,10/23/22 00:59:49,ADJUST,6800,10.146853112,10.134185689,0.0,BCM1FUT
360927:8305,19:19,10/23/22 01:00:12,ADJUST,6800,10.097320457,10.084733036,0.0,BCM1FUT
360927:8305,20:20,10/23/22 01:00:35,ADJUST,6800,10.088373158,10.075771737,0.0,BCM1FUT
360927:8305,21:21,10/23/22 01:00:59,ADJUST,6800,10.063646332,10.050702899,0.0,BCM1FUT
360927:8305,22:22,10/23/22 01:01:22,ADJUST,6800,10.163298662,10.150654239,0.0,BCM1FUT
360927:8305,23:23,10/23/22 01:01:45,ADJUST,6800,8430.241742458,8045.608887856,0.0,BCM1FUT
360927:8305,24:24,10/23/22 01:02:09,ADJUST,6800,16066.818960292,15298.695289255,47.5,BCM1FUT
360927:8305,25:25,10/23/22 01:02:32,ADJUST,6800,15857.153953194,15172.738079709,45.7,BCM1FUT
360927:8305,26:26,10/23/22 01:02:55,ADJUST,6800,15410.327020038,14847.841221510,43.8,BCM1FUT
360927:8305,27:27,10/23/22 01:03:18,ADJUST,6800,14454.393072296,13872.818635818,37.2,BCM1FUT
360927:8305,28:28,10/23/22 01:03:42,ADJUST,6800,15903.611505826,15403.101778567,47.5,BCM1FUT
360927:8305,29:29,10/23/22 01:04:05,ADJUST,6800,16077.599820594,15257.392908911,46.4,BCM1FUT
