effMin0p9 OptionB0 : FM=57.4294 - THR=38 - ACC=0.623278 - FMtACC=35.7944
effMin0p9 OptionS0 : FM=57.4116 - THR=38 - ACC=0.62301 - FMtACC=35.768
effMin0p9 OptionC0 : FM=57.4116 - THR=38 - ACC=0.62301 - FMtACC=35.768
effMin0p9 OptionT0 : FM=57.338 - THR=38 - ACC=0.622313 - FMtACC=35.6822
effMin0p9 OptionD0 : FM=57.338 - THR=38 - ACC=0.622313 - FMtACC=35.6822
effMin0p9 OptionK1 : FM=57.3308 - THR=38 - ACC=0.622151 - FMtACC=35.6684
effMin0p9 OptionU0 : FM=57.3308 - THR=38 - ACC=0.622151 - FMtACC=35.6684
effMin0p9 OptionE0 : FM=57.3308 - THR=38 - ACC=0.622151 - FMtACC=35.6684
effMin0p9 OptionL1 : FM=57.266 - THR=38 - ACC=0.621454 - FMtACC=35.5882
effMin0p9 OptionV0 : FM=57.266 - THR=38 - ACC=0.621454 - FMtACC=35.5882
effMin0p9 OptionF0 : FM=57.266 - THR=38 - ACC=0.621454 - FMtACC=35.5882
effMin0p8 OptionA0 : FM=57.237 - THR=38 - ACC=0.620976 - FMtACC=35.5428
effMin0p9 OptionC2 : FM=57.196 - THR=38 - ACC=0.620652 - FMtACC=35.4988
effMin0p9 OptionM1 : FM=57.196 - THR=38 - ACC=0.620652 - FMtACC=35.4988
effMin0p9 OptionW0 : FM=57.196 - THR=38 - ACC=0.620652 - FMtACC=35.4988
effMin0p9 OptionG0 : FM=57.196 - THR=38 - ACC=0.620652 - FMtACC=35.4988
effMin0p8 OptionB0 : FM=57.1726 - THR=38 - ACC=0.620184 - FMtACC=35.4575
effMin0p9 OptionD2 : FM=57.1692 - THR=38 - ACC=0.620193 - FMtACC=35.456
effMin0p9 OptionN1 : FM=57.1692 - THR=38 - ACC=0.620193 - FMtACC=35.456
effMin0p9 OptionX0 : FM=57.1692 - THR=38 - ACC=0.620193 - FMtACC=35.456
effMin0p9 OptionH0 : FM=57.1692 - THR=38 - ACC=0.620193 - FMtACC=35.456
effMin0p9 OptionC1 : FM=57.0118 - THR=35 - ACC=0.678641 - FMtACC=38.6905
effMin0p9 OptionM0 : FM=57.0118 - THR=35 - ACC=0.678641 - FMtACC=38.6905
effMin0p9 OptionE4 : FM=56.9857 - THR=35 - ACC=0.678278 - FMtACC=38.6521
effMin0p9 OptionO3 : FM=56.9857 - THR=35 - ACC=0.678278 - FMtACC=38.6521
effMin0p9 OptionY2 : FM=56.9857 - THR=35 - ACC=0.678278 - FMtACC=38.6521
effMin0p9 OptionI2 : FM=56.9857 - THR=35 - ACC=0.678278 - FMtACC=38.6521
effMin0p9 OptionS1 : FM=56.9857 - THR=35 - ACC=0.678278 - FMtACC=38.6521
effMin0p9 OptionF4 : FM=56.8645 - THR=35 - ACC=0.676941 - FMtACC=38.4939
effMin0p9 OptionP3 : FM=56.8645 - THR=35 - ACC=0.676941 - FMtACC=38.4939
effMin0p9 OptionZ2 : FM=56.8645 - THR=35 - ACC=0.676941 - FMtACC=38.4939
effMin0p9 OptionJ2 : FM=56.8645 - THR=35 - ACC=0.676941 - FMtACC=38.4939
effMin0p9 OptionT1 : FM=56.8645 - THR=35 - ACC=0.676941 - FMtACC=38.4939
effMin0p9 OptionD1 : FM=56.8645 - THR=35 - ACC=0.676941 - FMtACC=38.4939
effMin0p9 OptionN0 : FM=56.8645 - THR=35 - ACC=0.676941 - FMtACC=38.4939
effMin0p7 OptionT0 : FM=56.8427 - THR=35 - ACC=0.675041 - FMtACC=38.3711
